document,sentence
Kasarakuy raymimanta,"Chakra hasp’iypiqa wayna sipaskuna sinchita chansanakuspa, asichinakuspa,  aysanakuy, qatatinakuy pukllayman yaykunku."
Kasarakuy raymimanta,"Kay pukllaypi wayna sipas  riqsinakunku, chaypi munanakuy ukhurin, qhipaman kasarakapunku ima."
Kasarakuy raymimanta,"Ayllu raymikunapi, wasichakuypi, San Juan tuta kusikuy raymikunapi,  qhasway pukllay raymipi, unu raymipi, kasarakuykunapi."
Kasarakuy raymimanta,"Aymuray killapi, chakana raymi, chay raymi p’unchaw ch’isiyaykuyta tuta raymipi  tusuy qallarin."
Kasarakuy raymimanta,Chaymanmi wayna sipaskuna huñupi tantanakuspa purinku.
Kasarakuy raymimanta,Chaypi  tuta paqariqta tusumunku.
Kasarakuy raymimanta,"Kay tuta chakana raymipi munanakuq wayna sipasqa  wakmanta tupanku, chaypi tusunku takipayanakuspa, hinaspa astawan munanakunku."
Kasarakuy raymimanta,"Chay kutimantapacha, sapa kuti tupaspa wayna sipaswan imaymanata ruranku,  urqu patakunapi, q’ahakunapi, wayq’ukunapi, uywa michina patapi tupanku."
Kasarakuy raymimanta,"Mayninpiqa sipas unquq ima ukhurin, chaypi munanakuqkunaqa yuyaykukunku  tiyakapunankupaq."
Kasarakuy raymimanta,"Wayna, tayta maman macharquptin, sipasta riqsin  chaywan tusun, rimapayanpas, asichin, pacha paqariytataq wasichakuy wasimanta  hawaman apanakunku."
Kasarakuy raymimanta,Chaypi sumaqta rimapayanakuspa sunquta allinta  tupachinku: —Iskaymanta tiyakapusunchik —nispa.
Kasarakuy raymimanta,"Ayllupiqa wayna sipas much’anakuytaqa manan allintachu  qhawarinku: —Qasilla, yanqalla, yanqamanta mistikunaq ruraynin —nispa."
Kasarakuy raymimanta,"Much’anakuqta rikuspa ninku: —Atatáw, qhuchi, mana p’inqarikuq —nispa, wayna  sipastaqa k’aminku."
Kasarakuy raymimanta,"Ayllupiqa much’anku manchakuywan illakunata, Pachamamata, yayakunata,  wak’akunata, ch’allakuypi haywarikusqakunata ima."
Kasarakuy raymimanta,Wayna sipaspa tiyanakuypaq yuyaykukuy Tayta mamaq munaynin.
Kasarakuy raymimanta,"May unay watakunapiqa, wayna sipasqa tiyaq kasqaku,  tayta mamanpa munasqanwan, mana wayna sipasqa riqsinakusqakuchu."
Kasarakuy raymimanta,Aswanpas  tayta mamakunas ñawpaqta rimanakusqaku wawanku tiyanankupaq.
Kasarakuy raymimanta,"Sipasqa  waynata riqsiq kasqa, may pachachus waynaq tayta maman, sipaspa wasinta  chayan warmi hurquq hinallañas."
Kasarakuy raymimanta,"Tayta mamaqa ususinpaq qullqiyuq, allpayuq, uywayuq waynata qhawarisqa."
Kasarakuy raymimanta,"Sipasqa tayta mamanta kasuq kasqa, tayta mamanqa manchachisqa sipastaqa:  —Mana kasukuptiykiqa manam imatapas qusaykichu, wasimanta wikch’usayki —nispa."
Kasarakuy raymimanta,"Wayna sipaswan, anchataña munanakapuptinku,  tayta mamanku mana allin wayna kasqanta yachaspa, mana munaptin, sipas  wasinmanta chinkakapun waynaq wasinman."
Kasarakuy raymimanta,"Sipaspa tayta maman sinchi llakisqa sipasta machkhan, maypi kasqanta  yacharquspataq sinchita waynapaq ususinpaq ima phiñakunku."
Kasarakuy raymimanta,"Wayna  sipaspiwan mana allin rurasqanku chaninchakapunanpaq, yuyaychakunku,  sipaspa tayta mamanman purinankupaq."
Kasarakuy raymimanta,Achkha kuti pampachakuy  mañakuq purinku.
Kasarakuy raymimanta,Sipaspa tayta maman sipasta unquqtaña rikuspa  pampachapun hinaspa tiyachipunku.
Kasarakuy raymimanta,"Tayta mamawan allin rimanakuywan tiyakapuy  Wayna sipaswan chiqaqtapuni, allintaña munanakunkuhina yuyaykukunku iskaymanta  tiyakapunankupaq."
Kasarakuy raymimanta,Chaypaq tayta mamankuman rimapayay chawpichaq  kanankupaq willapunku.
Kasarakuy raymimanta,"Mana tayta mama kaptintaq, kuraq wawqinkuman,  tiyunkuman, marq’aq parinuman, mana chaytaq ayllupi huk allin manchana runaman  purinku rimapayaq."
Kasarakuy raymimanta,"Chiqaqta rimanakuspa yuyaykunku sipaspa wasinta watukuq  purinankupaq, sipaspa tayta mamam uyakunanpaq, achkha kuti purinku."
Kasarakuy raymimanta,Ñawpa ñiqin watukuq puriy (Warmi tapuy).
Kasarakuy raymimanta,"Wayna tayta mamantin, utaq  rimapayay chawpichaqpiwan sipaspa tayta mamanpa wasinta purinku."
Kasarakuy raymimanta,Chaypi  sipaspa tayta maman sumaqta chaskin.
Kasarakuy raymimanta,La reunión    hinaspa ñawpaqtaqa qallarinku llamk’ayninkumantaraq rimayta.
Kasarakuy raymimanta,"Chaymantaña  waynaq tayta maman sipaspa tayta mamanman willapun: —Churiymi ususiykiwan  munanakunku, chaymi rimapayaq hamuchkayku, masachakunankupaq."
Kasarakuy raymimanta,"Ñataq  allin llamk’ayniyuqña, warmayananta allin kawsayta qunapaq kallpayuqña  kachkan chayqa, mañarikuyki ususiykiq makinta —nispa."
Kasarakuy raymimanta,"Sipaspa tayta mamanqa kutichin: —Ususiyta tapuykusaq, chiqaqtachus  churiykita munakun chayta —nispa."
Kasarakuy raymimanta,"Iskaynin tayta mamakuna rimanakuyta  tukupuptin, waynaq taytan añaychakuspa, nillataq: —Chhikaqa kutimusaqku huk  p’unchaw —nispa, sipaspa wasinmanta ripunku."
Kasarakuy raymimanta,Kay ñawpa ñiqin watukuypiqa  munanakuqkunaqa manan imatapas rimankuchu.
Kasarakuy raymimanta,Iskay ñiqin watukuq puriy.
Kasarakuy raymimanta,"Kimsa tawa p’unchawmanta, wayna tayta mamantin,  wakmanta sipaspa wasinta watukuq purinku, chaypi wakmanta rimanku."
Kasarakuy raymimanta,"Sipaspa taytanqa, waynap tayta mamanman willan: —Ususiyta tapunin, chiqaqmi nispam  niwan."
Kasarakuy raymimanta,Chhayna kaptinqa qamkunap ñawpaqiykipi allinta tapuykusaq —nispa ususinta  taytanqa tapun.
Kasarakuy raymimanta,"Kay waynawan tiyaytapunichu munanki, allintachu rimankichis, mana  qipaman imatapas yachayta munanichu, chaypaq yuyayniyuq kanki —nispa ususinta  tapun."
Kasarakuy raymimanta,"Taytanqa rimayta tukupun —Hina kaptinqa  sumaqta tiyakapunkischá, ama maqanakuspa, wiñaypaq kawsakuychik —nispa."
Kasarakuy raymimanta,Waynap tayta mamanqa chayta uyarispa nin: —Kunanqa yuyaykusun hayk’aqmi  hamuykuman warmi hurquq nisqa ruranapaq.
Kasarakuy raymimanta,"Chay p’unchawta yuyaykuspa,  tayta mamakuna huch’uyta  huk tupachisqa alkulwan ch’allarikunku, kukata ima  hallpaykunku, hinaspa waynaqa tayta mamantin wasinkuman kutipunku."
Kasarakuy raymimanta,"Warmi hurquy Warmi hurquy purinankupaq, wayna tayta mamantin, imaymanata wakichikunku,  chaypaq  qhatumanta rantimunku: kukata, alkulta, misk’ita, sumaq t’antakunata,  misk’i añawikunata (latanu, laranha, mansana, pira)."
Kasarakuy raymimanta,"Warmipaq p’achata: pullirata,  mantunta, sunriruta, sapatuta ima, warmi hurquypi qhari wawayuq sumaq sunqun  apanankupaq."
Kasarakuy raymimanta,"Sipaspa tayta mamanpas imaymanata wakichikullankutaq, waynapa tayta maman  chaskinankupaq, warmi hurquypi warmi wawayuqqa sumaq sunquta suyachillantaq."
Kasarakuy raymimanta,Warmi hurquy p’unchaw chayamuptin.
Kasarakuy raymimanta,"Wayna tayta mamantin, huk paquntin ima,   sipaspa wasinta  purinku, ichaqa tutallapuni."
Kasarakuy raymimanta,"Waynapa ayllunqa sumaq chaskisqa, allin  allicharisqa wasiman haykuchinku, chaypi kayhinata rimayta qallarinku: —Watukamuchkayki."
Kasarakuy raymimanta,"—Allinpunim allinpunim watukamuwachkanki, waykuykamuy, waykuykamuy, kay     mast’ana patapi tiyarikuy."
Kasarakuy raymimanta,"Huch’uyta rimarispa, qallarinku Pachamamaman, Apukunaman huk haywakuyta ruraspa."
Kasarakuy raymimanta,"Paqu qallarin, kuka unkhuñata huk kustal patapi inti lluqsiy kinray qhawarisqa  mast’arparispa."
Kasarakuy raymimanta,"Chaymantapas, insinsuta, muklluta, winuta, alkulta ima churaykunku."
Kasarakuy raymimanta,"Haywarikuy qallarinapaq, llapalla sunrirunkuta, ch’ullunkuta, muntirankuta  qichurukuspa, qunqurchaki Pachamamamanta, Apukunamanta, yayamanta ima  tukuy sunqu mañarikunku."
Kasarakuy raymimanta,Chaymantataq paqu qispi qiruman winuta hich’aspa  unkhuñaq tawantin ch’ullpata ch’allan; hinaspa inti lluqsimuy kinrayman ch’allan.
Kasarakuy raymimanta,"Chiqan sach’a hinaraq ch’allakun hinaallinpaq, manahinaqa mana allinpaqmi."
Kasarakuy raymimanta,"Chaymanta paqu, unkhuñamanta kukata sapankaman rakin."
Kasarakuy raymimanta,"Llapa mana imata ch’aqwaspa kuka k’intuta akllanku,  hinaspa Pachamamaman, Apukunaman, phukurikunku: —Pha, pha, pha —nispa  mañarikunku llapa ima rurasqanku allin kananpaq."
Kasarakuy raymimanta,"Chay k’intu phukukusqankuta  paquman haywanku, hatun papil raphipi k’intu misaman churananpaq."
Kasarakuy raymimanta,"Chay k’intu pataman paqu churaykun insinsu q’apachita, muklluta, rawil t’ikata  ima, hinaspa sumaqta ch’uwirqapun."
Kasarakuy raymimanta,"Sapanka kay haywarikuypi kaqkuna  apukunaman, Pachamamaman, llapan ayllu wak’akunaman phukurikunku."
Kasarakuy raymimanta,"Hinaspa paqu q’awawan qununata ruraspa ruphachipun, winuwan, alkulwan  ch’allakuspa."
Kasarakuy raymimanta,"Ruphayta tukuptintaq qhawan, sichus yuraq kaptin: —Tukuy sunqu  Pachamama, apukuna chaskiwanchik —nispa willakun."
Kasarakuy raymimanta,"Hinaspa paqu sapankaman qirupi winuta hich’aspa haywan, inti lluqsimuy  kinrayman ch’allakunankupaq."
Kasarakuy raymimanta,"Chaymanta kukata hallpanankupaq muyurichikun, hinaspataq muña matipi  tupasqa alkulwan ch’allakunku, upyanku ima."
Kasarakuy raymimanta,"Tukupunku: —Allin pachapi kachun, allin pachapi kachun  —nispa uqllanakunku."
Kasarakuy raymimanta,"Uqllanakuyta tukuspa, waynap tayta maman sipaspa tayta mamanman sumaq  sunqu apasqankuta haywarin."
Kasarakuy raymimanta,Chaymantataq tayta mama pampachakuy mañakuyta qallarinku.
Kasarakuy raymimanta,"Ñawpaqtaqa  sipaspa tayta riman: —Wawachikkuna huchankumanta pampachakunqaku, kunan  p’unchawmanta ch’uya tiyakunankupaq —nispa."
Kasarakuy raymimanta,"Wayna manchakuywan tayta mamanpaq ñawpaqinpi qunqurchakimanta tayta  mamanpaq chakinta, makinta ima much’aykuspa pampachakuyta mañakun."
Kasarakuy raymimanta,"Tayta mamantaq allinpaq, allin pachapi kachun —nispa uqllaykunku."
Kasarakuy raymimanta,"Waynaqa  kikillantataq sipaspaq tayta mamanta, kuraq wawqi panankunata ima pampachan."
Kasarakuy raymimanta,"Sipaspas tayta mamanta, kuraq pana turanta, waynaq tayta mamanta ima  pampachakullantaq."
Kasarakuy raymimanta,"Tukunankupaq, sipaspa taytan rimarqullantaq: —Ususiy wasi wawam, manam  wayk’ukuytapas allintachu yachan, uywallaytam michupuwan, chakra  llamk’aytapas chayraqmi yachachkan, ñuqaykuqa ancha munasqata ususiytaqa  uywakuyku."
Kasarakuy raymimanta,"Chayrayku, chhikataq waqachipuchkawankiman, manam imatapas  uyariyta munanichu."
Kasarakuy raymimanta,"Allintachá rimanakunkichik, yuyaykukunkichik; nuqaykupas  kunankama mana huchatarispa tiyakuyku."
Kasarakuy raymimanta,Hina kaptinqa apakapunkichá  ususiyta —nispa kay pampachakuyta tukupunku.
Kasarakuy raymimanta,"Sipaspa taytanpa nisqanta uyarispa, waynap taytan rimarqun: —Allinmi rimarqusqayki,  kunanqa yuyaykusunchik, hayk’aq wawanchikkuna kasarakunankupaq —nispa."
Kasarakuy raymimanta,Rimanakuspa yuyaykunku qhapaq sitwa killapi hamuq watapi kasarakuy raymi  kananpaq.
Kasarakuy raymimanta,"Qhachun lasuyta qallarinku, chaypaqqa wayna sipasman munakuy  sunqunwan p’acha apasqanwan p’achaykuchin, sipastaq chaskikuspa  p’achakuq lluqsirqapun."
Kasarakuy raymimanta,"p’unchawmanta sumaqta musuq wasiykichikpi tiyakuychik, qhariyki llamk’anqa,  qantaq sumaqta uyarinki, qhawarinki, hina allinta runachakunkichik, huch’uypaq  hatunpaq qhawarinan kanaykichis —nispa tukupun."
Kasarakuy raymimanta,"Huch’uyta k’arku unukunata upyarispa, waynaqa tayta mamantin qhachunta  allinta sumaq p’achawan p’achasqata lasuspa, manaraq pacha paqarichkaptin  apakapunku."
Kasarakuy raymimanta,Waynapa wasinman chayaspa ch’allakunku chaymanta machanku.
Kasarakuy raymimanta,"Hinaspa  wayna sipaspiwan puñuq ripunku, chay p’unchaymanta tiyapunku, sirwinakunku."
Kasarakuy raymimanta,Waymi hurquypaq unancha yachaykuna Kay warmi hurquypim imaymana yachaykunata qhawaspa purinku.
Kasarakuy raymimanta,"Warmi hurquq purichkaptin, wayna  huk rumipi michk’akun, chayqa warmipa  tayta maman mana munananpaq."
Kasarakuy raymimanta,"Warmi hurquy puririchkaptinchik, huk phichitanka pisqu asikun, chayqa  niwanchik manam kasarakuy kanqachu."
Kasarakuy raymimanta,Warmi hurquq purinapaq mach’aqwawan musqhukunchik chayqa  munakusqanchik warmiwan tiyakapunapaq.
Kasarakuy raymimanta,"Warmi hurquq purichkaptinchik, ñanpi huk uwihawan tupanchik."
Kasarakuy raymimanta,Chayqa qullu  mana warmi hurquy atikunqachu.
Kasarakuy raymimanta,"Munanakuchkaspa wayna sipasman misk’i unuta haywarin hinaspa chay  misk’i unu payllamanta ch’apaqyapun, chaqta munakusqayki warmi mana  qanwan tiyanqachu."
Kasarakuy raymimanta,"Karumanta qhawaspa rikunchik, wasiman warawara quyllur chayaqta, chayqa  niwanchik wasiman chayamunqa huk qhachun."
Kasarakuy raymimanta,"Warmi hurquypaq paka simi yachaykuna  Warmi hurquq purinapaqqa, huk haywarikuyta rurana Pachamamaman,  apukunaman ima, wasiman allin sipas yanapakuq hamunanpaq."
Kasarakuy raymimanta,"Warmi hurquq purinapaq, waynawan kuchka puriqkunaqa kanan  kasarasqakuna."
Kasarakuy raymimanta,"Hinaspapas purinanku qhari warmi, manahinaqa chay  masachakuqkuna t’aqanakapunkuman, sapanku qipapunkuman  huknin wañuptin."
Kasarakuy raymimanta,"Warmi hurquqqa purinam allin p’acharusqa, sumaq t’ikacharisqa, mana  chayqa manam allin kawsay kanmanchu."
Kasarakuy raymimanta,"Warmi hurquypiqa, tayta mamakuna manam k’aminankuchu wawankuta,  mana chayqa qipaman t’aqanakapullankupuni."
Kasarakuy raymimanta,"Kay ayllukunapiqa  qhapaq sitwa killallatapuni akllarinku, imaraykuchus q’uni killa nisqa."
Kasarakuy raymimanta,Kay killapim  Pachamama k’uchi mikhuy muhuta chaskispa puquchiyta qallarin.
Kasarakuy raymimanta,Chaymantapas  runachakuy p’unchawqa hunt’a killapi kanan.
Kasarakuy raymimanta,"Parinu akllaypaqqa qhawarinku, allin kawsakuq runata, qhapaqta, allin  yanapakuqta, ayllupi allin manchanata."
Kasarakuy raymimanta,Chay allin kayninta runachakuq  wawankunaman rataykunanpaq.
Kasarakuy raymimanta,"Chayta ayllu runaqa ninku: —Parinun kikillan  kanqa, allin kawsakuyninta quykunqa —nispa rimanku parinu akllanapaqqa."
Kasarakuy raymimanta,"Hatun qullana parinutaqa machkharinku, huk mistita, allin sunquyuq,  munakusqanta qhawarispa, kasarakuqta qhipaman allinta yanaparinanpaq, mana  allinkunamanta qhawarinanpaq, runachakuqkuna parinupa allpanpi wakchu  uywanta michikuspa kawsananpaq."
Kasarakuy raymimanta,"Wakintaq hatun parinutaqa akllarikunku, riqsisqanku allin wiraquchata  qhawarisqata, yachachiqta, hampi kamayuqta, ingeniero nisqata, utaq llaqta  umalliqta ima."
Kasarakuy raymimanta,Imaraykuchus chay runakunaqa kasarachisqan wawankunata  llamk’anaman churayta atinkuman nispa.
Kasarakuy raymimanta,"Chaymantapas parinupaqqa qhawarillankutaq, qhatukunapi qhatuqkunata."
Kasarakuy raymimanta,"Imarakuchus kay runakunaqa qullqita chaninta hap’inku, karuyuqta, llaqtata  purispa mana qullqillapaq apananpaq, utaq qullqita usqhaylla mañarikunapaq."
Kasarakuy raymimanta,"May maypiqa tayta kuratapas parinuta hap’ikunkun, ichaqa tayta kura  uyakunanpaqqa, allin kawsaq, yayapi allin iñiq runan kana, mana chayqa,  manam tayta kuraqa uyakunmanchu."
Kasarakuy raymimanta,"Hatun parinu machkhaytaqa, iskay watukuyta ruraspa ruranku."
Kasarakuy raymimanta,"Wayna tayta mamantin utaq rimapayay chawpichaqpiwan  parinupaq qhawarisqankuq wasinta purinku, huch’uy sumaq sunqu aparisqa."
Kasarakuy raymimanta,"Parinu qhawakusqa sunquchachinapaq, kukachata haywarinku."
Kasarakuy raymimanta,"Chayta  hallpaykuspa tayta mamaqa rimapayarin imaman purisqankuta: —Kay wawaykunam runachakapuyta yuyaykukunku, chaypaqmi qanta parinupaq  qhawarikuchkayku; amapuni mana niwankichu."
Kasarakuy raymimanta,"Chayta uyarispa wiraquchaqa kutichin: —Allin riqsisqa runamari kanki, imaynataq manari."
Kasarakuy raymimanta,"Sumaqta  añanchakuspa, yuyaykukunku huk p’unchaw kutinankupaq."
Kasarakuy raymimanta,"Yuyaykusqanku p’unchaw chayamuptin, kasarakuqkuna  tayta mamantin wakmanta parinu qhawakusqankuq wasinta watukuq purinku."
Kasarakuy raymimanta,"Chaypi sumaqta manchakuywan napaykunakunku, hinaspa rimayta qallarinku,  pacha imayna kasqanmanta, utaq aylluq kawsayninmanta ima."
Kasarakuy raymimanta,"Chaymanta kasarakuqpa taytan, tukuy sunqu mañarikuyta rimarqun:  —Kay wawaykunan allinta rimanakunku runachakapunankupaq, chayrayku  qankunata sumaq kawsakuq kasqaykita qhawarispa."
Kasarakuy raymimanta,"Hatun parinumanta  qhawaripuwayku, kay wawaykuna runachakunankupaq, qankunahina allin  kawsay kawsakuq kanankupaq, llapa ayllu runamasinchikkunawan allin  qhawachinawankupaq."
Kasarakuy raymimanta,"Parinuqa rimarqun: —Ari, nuqanchikqa kay ayllupi tiyakuq runamasintin allintam  riqsikuykichis, llamk’aysapa runa kasqaykita."
Kasarakuy raymimanta,"Chayrayku tukuy sunqu hatun  parinuhina qhawarisaq, allin kawsay kawsananpaq, chay kawsayninta qhawarispa  runamasinchikkuna qatipanankupaq."
Kasarakuy raymimanta,"Chay rimasqanta uyarispa kasarakuqkuna, tayta mamankuna ima, añanchakunku,  uqllaykuspa: —Allin pachapi kachun, allin pachapi kachun —nispa."
Kasarakuy raymimanta,Hinaspataq parinu hap’isqaman sumaq sunqu q’ipichasqata haywarinku.
Kasarakuy raymimanta,"Chay  q’ipichasqapiqa huk uwiha ñak’asqa, muraya, allichachaq papakuna, misk’i  mikhuykuna allichachaq t’antata ima."
Kasarakuy raymimanta,"Watukuy allin kasqanta qhawarispa, ch’allakuyta qallarinku, allin  hunt’akunanpaq, qirupi hunt’asqa kanankama."
Kasarakuy raymimanta,Hinaspa kasarakuq tayta  mamantin ripunku wasinkuman huch’uy macharisqa.
Kasarakuy raymimanta,Huch’uy parinu machkhay.
Kasarakuy raymimanta,"Huch’uy ara parinutaqa machkhanku kasarakuqpaq llaqtamasinta, llaqta taytata,  wiraqucha gobernadorta, wiraqucha juista, ayllu umalliqta ima, ichaqa allin  runachasqa, ayllupi manchana, allin wasi ruraq runata machkhakunku."
Kasarakuy raymimanta,"Huch’uy parinutaqa, raymikunapi, llaqta qhatupi tupachispa rimapayanku, utaq  wasinta watukuq purispa."
Kasarakuy raymimanta,"Chaypi rimapayanku parinu kananpaq, uyakun hinaqa,  huk p’unchaw iskay ñiqin watukuyta ruranku, chaypi chiqaqta parinu kananpaq  rimanku."
Kasarakuy raymimanta,Hinaspa hatun parinu machkhaypi kikinta ruranku.
Kasarakuy raymimanta,"Huch’uy parinuqa anillu surtihata, quri qullqi waskha, ara qullqita ara chuwapi  kasarakuqman qun."
Kasarakuy raymimanta,Chaytaqa runachakuy p’unchaw yayaq wasinpi tayta  kura chaninchan.
Kasarakuy raymimanta,Runachakuy p’unchawpaq wakichikuykuna Runachakuypaq chaninñin qupuy.
Kasarakuy raymimanta,"Kasarakuy ruranapaqqa, kasarakuq qhari warmi  qullqita allinta huñukunanku, imaraykuchus qullqita tayta kuraman, llaqta taytaman  kasarakuypaq chaninta qunanku."
Kasarakuy raymimanta,"Ñawpaq watakunaqa tayta kuramansi, huk utaq iskay kawsachkaq uwihata  kallpankumanhina apaqku, wakinqa wallpata imayna sumaq sunquta apaq  kasqaku, tayta kura allin kasarachinanpaq."
Kasarakuy raymimanta,Kasarakuypaq yayaq simin yachaqay.
Kasarakuy raymimanta,"Kasarakuqkuna yayapi iñina wasita,  iskay killa ñawpaqmantaraq yayapa simin uyariq ñawinchanapaq ima purinku."
Kasarakuy raymimanta,"Yayapa wasinpi kasarakunapaqqa, allintam yachana kasarasqa kawsayta, allin  kamachikuyta, qhari warmi hunt’ananta, chayaqinkunata ima allinta yachanan."
